	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1988	Fungi	NA	NA	NA	NA	NA	NA
ASV1989	NA	NA	NA	NA	NA	NA	NA
ASV1990	Fungi	NA	NA	NA	NA	NA	NA
ASV1991	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Arxiella	NA
ASV1992	Fungi	NA	NA	NA	NA	NA	NA
ASV1993	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces tardifaciens
ASV1994	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	Cordana	Cordana terrestris
ASV1995	Fungi	NA	NA	NA	NA	NA	NA
ASV1996	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	NA
ASV1997	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV1998	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Eleutherascus	Eleutherascus peruvianus
ASV1999	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria vermicularioides
ASV2000	NA	NA	NA	NA	NA	NA	NA
ASV2001	Fungi	Ascomycota	Sordariomycetes	Microascales	Graphiaceae	Graphium	Graphium jumulu
ASV2002	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2003	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	NA
ASV2004	Fungi	Ascomycota	Orbiliomycetes	NA	NA	NA	NA
ASV2005	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neoscytalidium	Neoscytalidium dimidiatum
ASV2006	Fungi	NA	NA	NA	NA	NA	NA
ASV2007	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum longirostratum
ASV2008	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV2009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV2010	Fungi	Mucoromycota	Umbelopsidomycetes	NA	NA	NA	NA
ASV2011	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV2012	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	NA
ASV2013	Fungi	NA	NA	NA	NA	NA	NA
ASV2014	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	NA
ASV2015	Fungi	NA	NA	NA	NA	NA	NA
ASV2016	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	NA	NA	NA
ASV2017	NA	NA	NA	NA	NA	NA	NA
ASV2018	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	NA
ASV2019	Fungi	NA	NA	NA	NA	NA	NA
ASV2020	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2021	NA	NA	NA	NA	NA	NA	NA
ASV2022	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum chlorophyti
ASV2023	NA	NA	NA	NA	NA	NA	NA
ASV2024	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
ASV2025	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2026	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium hominis
ASV2027	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
ASV2028	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2029	Fungi	NA	NA	NA	NA	NA	NA
ASV2030	NA	NA	NA	NA	NA	NA	NA
ASV2031	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2032	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2033	NA	NA	NA	NA	NA	NA	NA
ASV2034	NA	NA	NA	NA	NA	NA	NA
ASV2035	Fungi	Mucoromycota	Endogonomycetes	NA	NA	NA	NA
ASV2036	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	NA
ASV2037	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Monographella	Monographella nivalis
ASV2038	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	NA
ASV2039	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2040	NA	NA	NA	NA	NA	NA	NA
ASV2041	NA	NA	NA	NA	NA	NA	NA
ASV2042	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	NA
ASV2043	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula taiwanensis
ASV2044	NA	NA	NA	NA	NA	NA	NA
ASV2045	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2046	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV2047	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV2048	Fungi	NA	NA	NA	NA	NA	NA
ASV2049	Fungi	NA	NA	NA	NA	NA	NA
ASV2050	Fungi	NA	NA	NA	NA	NA	NA
ASV2051	NA	NA	NA	NA	NA	NA	NA
ASV2052	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV2053	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	NA	NA
ASV2054	Fungi	Ascomycota	Dothideomycetes	NA	Eremomycetaceae	Arthrographis	Arthrographis kalrae
ASV2055	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV2056	NA	NA	NA	NA	NA	NA	NA
ASV2057	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	NA
ASV2058	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora fusarioides
ASV2059	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium slooffiae
ASV2060	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	NA
ASV2061	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila
ASV2062	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Leuconeurospora	NA
ASV2063	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	NA
ASV2064	Fungi	NA	NA	NA	NA	NA	NA
ASV2065	NA	NA	NA	NA	NA	NA	NA
ASV2066	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV2067	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2068	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	NA	NA
ASV2069	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2070	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2071	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	Microascus melanosporus
ASV2072	Fungi	NA	NA	NA	NA	NA	NA
ASV2073	NA	NA	NA	NA	NA	NA	NA
ASV2074	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV2075	NA	NA	NA	NA	NA	NA	NA
ASV2076	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2077	Fungi	NA	NA	NA	NA	NA	NA
ASV2078	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	NA
ASV2079	NA	NA	NA	NA	NA	NA	NA
ASV2080	Fungi	NA	NA	NA	NA	NA	NA
ASV2081	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2082	Fungi	NA	NA	NA	NA	NA	NA
ASV2083	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2084	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV2085	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis	Ascodesmis microscopica
ASV2086	Fungi	NA	NA	NA	NA	NA	NA
ASV2087	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	NA
ASV2088	Fungi	Ascomycota	Orbiliomycetes	NA	NA	NA	NA
ASV2089	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
ASV2090	Fungi	NA	NA	NA	NA	NA	NA
ASV2091	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
ASV2092	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Tilachlidiaceae	Tilachlidium	Tilachlidium brachiatum
ASV2093	NA	NA	NA	NA	NA	NA	NA
ASV2094	NA	NA	NA	NA	NA	NA	NA
ASV2095	Fungi	NA	NA	NA	NA	NA	NA
ASV2096	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	NA
ASV2097	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys miodochialis
ASV2098	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	Apiosordaria nigeriensis
ASV2099	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV2100	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	Corynascus citrinus
ASV2101	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV2102	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV2103	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia craniiformis
ASV2104	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus chlamydosporus
ASV2105	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2106	Fungi	NA	NA	NA	NA	NA	NA
ASV2107	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV2108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia byssoides
ASV2109	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	NA
ASV2110	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	NA
ASV2111	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	NA
ASV2112	Fungi	NA	NA	NA	NA	NA	NA
ASV2113	NA	NA	NA	NA	NA	NA	NA
ASV2114	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2115	Fungi	Ascomycota	Sordariomycetes	Boliniales	Boliniaceae	Camarops	NA
ASV2116	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV2117	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
ASV2118	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
ASV2119	Fungi	NA	NA	NA	NA	NA	NA
ASV2120	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	NA	NA
ASV2121	Fungi	NA	NA	NA	NA	NA	NA
ASV2122	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV2123	Fungi	NA	NA	NA	NA	NA	NA
ASV2124	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
ASV2125	Fungi	NA	NA	NA	NA	NA	NA
ASV2126	Fungi	NA	NA	NA	NA	NA	NA
ASV2127	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella angulata
ASV2128	Fungi	NA	NA	NA	NA	NA	NA
ASV2129	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium megasporum
ASV2130	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium hominis
ASV2131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Simplicillium lanosoniveum
ASV2132	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces minioluteus
ASV2133	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA
ASV2134	NA	NA	NA	NA	NA	NA	NA
ASV2135	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	NA
ASV2136	Fungi	NA	NA	NA	NA	NA	NA
ASV2137	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV2138	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV2139	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2140	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV2141	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV2142	NA	NA	NA	NA	NA	NA	NA
ASV2143	Fungi	NA	NA	NA	NA	NA	NA
ASV2144	NA	NA	NA	NA	NA	NA	NA
ASV2145	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV2146	NA	NA	NA	NA	NA	NA	NA
ASV2147	NA	NA	NA	NA	NA	NA	NA
ASV2148	Fungi	NA	NA	NA	NA	NA	NA
ASV2149	NA	NA	NA	NA	NA	NA	NA
ASV2150	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua
ASV2151	NA	NA	NA	NA	NA	NA	NA
ASV2152	Fungi	NA	NA	NA	NA	NA	NA
ASV2153	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
ASV2154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	NA
ASV2155	NA	NA	NA	NA	NA	NA	NA
ASV2156	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2157	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium sp.
ASV2158	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
ASV2159	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV2160	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV2161	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV2162	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
ASV2163	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV2164	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV2165	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	NA	NA
ASV2166	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV2167	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2168	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2169	NA	NA	NA	NA	NA	NA	NA
ASV2170	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	NA
ASV2171	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2172	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
ASV2173	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2174	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV2175	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	NA
ASV2176	Fungi	NA	NA	NA	NA	NA	NA
ASV2177	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV2178	NA	NA	NA	NA	NA	NA	NA
ASV2179	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Emericellopsis	NA
ASV2180	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces cremeoroseus
ASV2181	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	NA	NA	NA
ASV2182	NA	NA	NA	NA	NA	NA	NA
ASV2183	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	NA
ASV2184	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV2185	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2186	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	NA	Entrophospora	NA
ASV2187	Fungi	NA	NA	NA	NA	NA	NA
ASV2188	Fungi	NA	NA	NA	NA	NA	NA
ASV2189	NA	NA	NA	NA	NA	NA	NA
ASV2190	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria felina
ASV2191	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV2192	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV2193	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	Volutella consors
ASV2194	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2195	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	NA
ASV2196	Fungi	Ascomycota	Dothideomycetes	Acrospermales	NA	Leptodiscella	Leptodiscella africana
ASV2197	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV2198	Fungi	NA	NA	NA	NA	NA	NA
ASV2199	Fungi	Ascomycota	Archaeorhizomycetes	NA	NA	NA	NA
ASV2200	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Galerella	Galerella floriformis
ASV2201	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	NA
ASV2202	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis rosea
ASV2203	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV2204	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia hawaiiensis
ASV2205	Fungi	NA	NA	NA	NA	NA	NA
ASV2206	Fungi	NA	NA	NA	NA	NA	NA
ASV2207	Fungi	NA	NA	NA	NA	NA	NA
ASV2208	Fungi	NA	NA	NA	NA	NA	NA
ASV2209	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
ASV2210	Fungi	NA	NA	NA	NA	NA	NA
ASV2211	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2212	NA	NA	NA	NA	NA	NA	NA
ASV2213	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV2214	Fungi	NA	NA	NA	NA	NA	NA
ASV2215	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia byssochlamydoides
ASV2216	Fungi	NA	NA	NA	NA	NA	NA
ASV2217	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2218	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2219	NA	NA	NA	NA	NA	NA	NA
ASV2220	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2221	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula toruloides
ASV2222	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV2223	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV2224	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2225	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis strossmayeri
ASV2226	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV2227	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps fusiformis
ASV2228	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	NA	NA
ASV2229	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	NA
ASV2230	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	NA
ASV2232	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV2233	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	NA
ASV2234	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV2235	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Spiromastix	Spiromastix warcupii
ASV2236	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Xanthothecium	Xanthothecium peruvianum
ASV2237	Fungi	Mucoromycota	Umbelopsidomycetes	NA	NA	NA	NA
ASV2238	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2239	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2240	NA	NA	NA	NA	NA	NA	NA
ASV2241	Fungi	NA	NA	NA	NA	NA	NA
ASV2242	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV2243	Fungi	NA	NA	NA	NA	NA	NA
ASV2244	NA	NA	NA	NA	NA	NA	NA
ASV2245	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces cremeoroseus
ASV2246	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
ASV2247	NA	NA	NA	NA	NA	NA	NA
ASV2248	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	NA
ASV2249	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2250	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV2251	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus caninus
ASV2252	Fungi	Basidiomycota	Tritirachiomycetes	Tritirachiales	Tritirachiaceae	Tritirachium	Tritirachium dependens
ASV2253	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	NA
ASV2254	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces rogersiae
ASV2255	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
ASV2256	Fungi	NA	NA	NA	NA	NA	NA
ASV2257	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2258	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
ASV2259	Fungi	NA	NA	NA	NA	NA	NA
ASV2260	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	NA
ASV2261	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA	NA
ASV2262	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	NA
ASV2263	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	Zopfiella latipes
ASV2264	Fungi	Ascomycota	Archaeorhizomycetes	NA	NA	NA	NA
ASV2265	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
ASV2266	Fungi	NA	NA	NA	NA	NA	NA
ASV2267	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Myriodontium	Myriodontium keratinophilum
ASV2268	Fungi	NA	NA	NA	NA	NA	NA
ASV2269	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	NA
ASV2270	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV2271	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	NA
ASV2272	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV2273	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
ASV2274	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnascella	Gymnascella hyalinospora
ASV2275	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV2276	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Boerlagiomyces	Boerlagiomyces websteri
ASV2277	NA	NA	NA	NA	NA	NA	NA
ASV2278	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Alfaria	Alfaria terrestris
ASV2279	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2280	NA	NA	NA	NA	NA	NA	NA
ASV2281	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
ASV2282	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	NA
ASV2283	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium fuscum
ASV2284	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV2285	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
ASV2286	NA	NA	NA	NA	NA	NA	NA
ASV2287	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Gymnopilus	Gymnopilus igniculus
ASV2288	NA	NA	NA	NA	NA	NA	NA
ASV2289	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV2290	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV2291	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomycopsis	Wardomycopsis litoralis
ASV2292	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV2293	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
ASV2294	Fungi	NA	NA	NA	NA	NA	NA
ASV2295	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2296	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium strictum
ASV2297	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2298	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Oehlia	Oehlia diaphana
ASV2299	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma sichuanense
ASV2300	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	NA	NA	NA
ASV2301	Fungi	NA	NA	NA	NA	NA	NA
ASV2302	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	NA
ASV2303	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe coprophila
ASV2304	Fungi	NA	NA	NA	NA	NA	NA
ASV2305	Fungi	Ascomycota	NA	NA	NA	NA	NA
